,Variable,Description,MDG
0,vacin,2499,0.024578585995858594
1,eficac,841,0.012456803685241569
2,brasil,326,0.011003924643112208
3,dos,818,0.01006064499658641
4,covid,620,0.009653386092233594
5,dor,816,0.00896990331968211
6,men,1573,0.008266274377390064
7,chin,436,0.007384366008346592
8,milho,1597,0.006482882025034249
9,dobr,799,0.00576751219400844
10,menos,1574,0.005765417917388698
11,compr,515,0.005667384312555051
12,parc,1808,0.005420676470757645
13,govern,1178,0.005072184348788667
14,contr,577,0.004763133200427867
15,tom,2413,0.0046926979505261986
16,anvis,141,0.004530932351603007
17,biontech,291,0.0043867751097401595
18,quer,2056,0.004362471892333003
19,produz,1984,0.00432517670499974
